EqualWeight(1/N),BuyAndHold,Random-topk,Momentum-topk
1.0577432187992821,1.0624832407700664,1.139316632195781,0.9554403316044081
1.0616864621032616,1.068032169326441,1.1416056351529411,0.9572416499911689
1.0583270984000424,1.0652084407018483,1.1376845495650478,0.957790823595979
1.0588255912305573,1.0661717125187482,1.134467592874012,0.953197657792287
1.0472317290622661,1.0563976722028803,1.1179166121597923,0.9307975952727446
1.0517570680949135,1.0618165025081798,1.1042242048483915,0.9453117672740369
1.0454129215536294,1.0577103167570048,1.1025741363001489,0.9480713318329874
1.0340893246651797,1.0462136309864343,1.0956085892534966,0.926630122399376
1.03144540345401,1.0420191917498483,1.1014757125619146,0.9198368867781801
1.0386444236590078,1.0471347150855543,1.0918339326598938,0.935726570410102
1.0356881736652952,1.045209951193842,1.0862891616696473,0.9292957208709637
1.036000329473644,1.045867099111145,1.098297140539746,0.9319686860816535
1.050145838543762,1.0627326979138,1.1227598608885654,0.9381154745274023
1.0500560828796328,1.0614710149220719,1.1305390304390797,0.9261381452618778
1.0476272717082877,1.0588685639123945,1.1345623725742147,0.9226009686131825
1.0497878287857894,1.0624347831619367,1.1428646428408276,0.9240677269350737
1.050258315101236,1.0629049494544505,1.1397454016799184,0.9295542425889884
1.0573899784225873,1.072390017833289,1.1471790110059614,0.9405354510895876
1.05263671700667,1.0697032323348235,1.137245376892774,0.9483798488981909
1.0531462418159503,1.0698323127586835,1.1312597502034845,0.9432364223263702
1.0646599460362673,1.0823287335875638,1.14045199917336,0.9468409529826417
1.0659808521741925,1.0853640185983635,1.1417797589492138,0.9535892555763158
1.0634010312978168,1.079095828401531,1.1196649876926599,0.9295790940426707
1.0671434482957485,1.080420908798097,1.1251976274263344,0.9450504276441447
1.0611587092148256,1.0723570667811655,1.1144135024462736,0.9371550795994014
1.0649206927371295,1.0782356947433773,1.1204821531582396,0.9367786989978499
1.0620657346589315,1.075190404076657,1.115636990732361,0.944791886921912
1.061783700708284,1.0747410951215213,1.1216719018611268,0.95018410187103
